statistical_area2,year,month_number,Monthly_Precipitation_Total(millimetres)
Howard Springs,2008,1,359.5
Howard Springs,2008,2,555.4
Howard Springs,2008,3,200.8
Howard Springs,2008,4,11.2
Howard Springs,2008,5,0
Howard Springs,2008,6,0
Howard Springs,2008,7,0
Howard Springs,2008,8,0
Howard Springs,2008,9,13.4
Howard Springs,2008,10,109.8
Howard Springs,2008,11,97.4
Howard Springs,2008,12,320.3
Howard Springs,2009,1,394.6
Howard Springs,2009,2,419
Howard Springs,2009,3,122.3
Howard Springs,2009,4,20.8
Howard Springs,2009,5,25.8
Howard Springs,2009,6,0
Howard Springs,2009,7,0
Howard Springs,2009,8,0
Howard Springs,2009,9,9.8
Howard Springs,2009,10,14.7
Howard Springs,2009,11,103
Howard Springs,2009,12,451.5
Howard Springs,2010,1,426.1
Howard Springs,2010,2,400.8
Howard Springs,2010,3,120.3
Howard Springs,2010,4,20.8
Howard Springs,2010,5,13.6
Howard Springs,2010,6,0
Howard Springs,2010,7,0.2
Howard Springs,2010,8,1.2
Howard Springs,2010,9,37.4
Howard Springs,2010,10,208
Howard Springs,2010,11,173.8
Howard Springs,2010,12,346.8
Howard Springs,2011,1,531.8
Howard Springs,2011,2,1078.2
Howard Springs,2011,3,299
Howard Springs,2011,4,198.6
Howard Springs,2011,5,0.6
Howard Springs,2011,6,0
Howard Springs,2011,7,0
Howard Springs,2011,8,0
Howard Springs,2011,9,0
Howard Springs,2011,10,15
Howard Springs,2011,11,145
Howard Springs,2011,12,351.2
Howard Springs,2012,1,482.3
Howard Springs,2012,2,474.8
Howard Springs,2012,3,467.4
Howard Springs,2012,4,81
Howard Springs,2012,5,89.8
Howard Springs,2012,6,0
Howard Springs,2012,7,0
Howard Springs,2012,8,0
Howard Springs,2012,9,37
Howard Springs,2012,10,63.6
Howard Springs,2012,11,207.2
Howard Springs,2012,12,113.1
Howard Springs,2013,1,199.3
Howard Springs,2013,2,285.6
Howard Springs,2013,3,476.5
Howard Springs,2013,4,104.4
Howard Springs,2013,5,14.4
Howard Springs,2013,6,0
Howard Springs,2013,7,0
Howard Springs,2013,8,9.4
Howard Springs,2013,9,10.4
Howard Springs,2013,10,31
Howard Springs,2013,11,309
Howard Springs,2013,12,262.8
Howard Springs,2014,1,758.4
Howard Springs,2014,2,400.2
Howard Springs,2014,3,78
Howard Springs,2014,4,245
Howard Springs,2014,5,32.2
Howard Springs,2014,6,0
Howard Springs,2014,7,0
Howard Springs,2014,8,0
Howard Springs,2014,9,0
Howard Springs,2014,10,2.4
Howard Springs,2014,11,165.9
Howard Springs,2014,12,216.8
Howard Springs,2015,1,434.2
Howard Springs,2015,2,410.6
Howard Springs,2015,3,164.3
Howard Springs,2015,4,70
Howard Springs,2015,5,15.4
Howard Springs,2015,6,0.4
Howard Springs,2015,7,0
Howard Springs,2015,8,0
Howard Springs,2015,9,2
Howard Springs,2015,10,3
Howard Springs,2015,11,140.9
Howard Springs,2015,12,702.2
Howard Springs,2016,1,136.2
Howard Springs,2016,2,290.6
Howard Springs,2016,3,183
Howard Springs,2016,4,12.6
Howard Springs,2016,5,55.6
Howard Springs,2016,6,28.6
Howard Springs,2016,7,0.4
Howard Springs,2016,8,0
Howard Springs,2016,9,70.5
Howard Springs,2016,10,34.8
Howard Springs,2016,11,229.4
Howard Springs,2016,12,450.3
Howard Springs,2017,1,417.2
Howard Springs,2017,2,533
Howard Springs,2017,3,323.1
Howard Springs,2017,4,151
Howard Springs,2017,5,0
Howard Springs,2017,6,0
Howard Springs,2017,7,0
Howard Springs,2017,8,0
Howard Springs,2017,9,0
Howard Springs,2017,10,101.2
Howard Springs,2017,11,210
Howard Springs,2017,12,140.6
Howard Springs,2018,1,865.8
Howard Springs,2018,2,278.4
Howard Springs,2018,3,217
Howard Springs,2018,4,78.5
Howard Springs,2018,5,0
Howard Springs,2018,6,0
Howard Springs,2018,7,0
Howard Springs,2018,8,0
Howard Springs,2018,9,0
Howard Springs,2018,10,97.2
Howard Springs,2018,11,172.8
Howard Springs,2018,12,95
Howard Springs,2019,1,330.4
Howard Springs,2019,2,134.8
Howard Springs,2019,3,170.4
Howard Springs,2019,4,188.4
Howard Springs,2019,5,20.6
Howard Springs,2019,6,0
Howard Springs,2019,7,0
Howard Springs,2019,8,0
Howard Springs,2019,9,0
Howard Springs,2019,10,10.6
Howard Springs,2019,11,124.5
Howard Springs,2019,12,76.3
Howard Springs,2020,1,572.3
Howard Springs,2020,2,312.8
Howard Springs,2020,3,319.6
Howard Springs,2020,4,118.7
Howard Springs,2020,5,2.8
Howard Springs,2020,6,0
Howard Springs,2020,7,0
Howard Springs,2020,8,0
Howard Springs,2020,9,9.6
Howard Springs,2020,10,140.8
Howard Springs,2020,11,122
Howard Springs,2020,12,348.9
Howard Springs,2021,1,601.5
Howard Springs,2021,2,389.3
Howard Springs,2021,3,238
Howard Springs,2021,4,106.9
Howard Springs,2021,5,0
Howard Springs,2021,6,0
Howard Springs,2021,7,0
