reporting_region,year,month_number,Monthly_Precipitation_Total(millimetres)
Darwin,2008,1,398.4
Darwin,2008,2,746.3
Darwin,2008,3,201.3
Darwin,2008,4,30.4
Darwin,2008,5,0
Darwin,2008,6,0
Darwin,2008,7,0
Darwin,2008,8,0
Darwin,2008,9,0.8
Darwin,2008,10,69
Darwin,2008,11,95.4
Darwin,2008,12,371.8
Darwin,2009,1,372.2
Darwin,2009,2,514.7
Darwin,2009,3,195
Darwin,2009,4,48.2
Darwin,2009,5,1.2
Darwin,2009,6,0
Darwin,2009,7,0
Darwin,2009,8,0
Darwin,2009,9,7.4
Darwin,2009,10,36.3
Darwin,2009,11,107.6
Darwin,2009,12,478
Darwin,2010,1,719
Darwin,2010,2,384.9
Darwin,2010,3,196.7
Darwin,2010,4,158.8
Darwin,2010,5,19.2
Darwin,2010,6,0
Darwin,2010,7,4.4
Darwin,2010,8,0
Darwin,2010,9,117.6
Darwin,2010,10,113.8
Darwin,2010,11,119
Darwin,2010,12,396.3
Darwin,2011,1,687.8
Darwin,2011,2,950.9
Darwin,2011,3,204.6
Darwin,2011,4,262.8
Darwin,2011,5,0
Darwin,2011,6,0
Darwin,2011,7,0
Darwin,2011,8,0
Darwin,2011,9,0.2
Darwin,2011,10,122.4
Darwin,2011,11,184.6
Darwin,2011,12,237.3
Darwin,2012,1,406.8
Darwin,2012,2,273.8
Darwin,2012,3,527.4
Darwin,2012,4,45.2
Darwin,2012,5,76.2
Darwin,2012,6,0
Darwin,2012,7,0
Darwin,2012,8,0
Darwin,2012,9,34.6
Darwin,2012,10,52.2
Darwin,2012,11,110.4
Darwin,2012,12,174.1
Darwin,2013,1,228
Darwin,2013,2,258
Darwin,2013,3,372
Darwin,2013,4,63
Darwin,2013,5,32.2
Darwin,2013,6,0
Darwin,2013,7,0
Darwin,2013,8,6.8
Darwin,2013,9,0
Darwin,2013,10,190.2
Darwin,2013,11,515.6
Darwin,2013,12,235.1
Darwin,2014,1,618.4
Darwin,2014,2,365.4
Darwin,2014,3,83.4
Darwin,2014,4,119.6
Darwin,2014,5,21.8
Darwin,2014,6,0
Darwin,2014,7,0
Darwin,2014,8,0
Darwin,2014,9,0
Darwin,2014,10,6
Darwin,2014,11,153.6
Darwin,2014,12,136.8
Darwin,2015,1,464
Darwin,2015,2,437.2
Darwin,2015,3,226.2
Darwin,2015,4,30
Darwin,2015,5,9.3
Darwin,2015,6,0
Darwin,2015,7,0
Darwin,2015,8,0
Darwin,2015,9,21.4
Darwin,2015,10,15.6
Darwin,2015,11,73.6
Darwin,2015,12,588.2
Darwin,2016,1,161
Darwin,2016,2,199.4
Darwin,2016,3,190.8
Darwin,2016,4,22.8
Darwin,2016,5,111.6
Darwin,2016,6,0
Darwin,2016,7,0
Darwin,2016,8,0
Darwin,2016,9,68.2
Darwin,2016,10,93.4
Darwin,2016,11,192
Darwin,2016,12,511.8
Darwin,2017,1,509
Darwin,2017,2,617.2
Darwin,2017,3,448.8
Darwin,2017,4,212.8
Darwin,2017,5,0
Darwin,2017,6,0
Darwin,2017,7,0
Darwin,2017,8,0
Darwin,2017,9,0
Darwin,2017,10,79.8
Darwin,2017,11,273.8
Darwin,2017,12,222.9
Darwin,2018,1,876.6
Darwin,2018,2,265.2
Darwin,2018,3,201.8
Darwin,2018,4,36.2
Darwin,2018,5,0
Darwin,2018,6,0
Darwin,2018,7,0
Darwin,2018,8,0
Darwin,2018,9,25.6
Darwin,2018,10,27.4
Darwin,2018,11,157.2
Darwin,2018,12,64.2
Darwin,2019,1,364.2
Darwin,2019,2,190
Darwin,2019,3,135.6
Darwin,2019,4,180
Darwin,2019,5,12
Darwin,2019,6,0
Darwin,2019,7,0
Darwin,2019,8,0
Darwin,2019,9,0
Darwin,2019,10,2.2
Darwin,2019,11,50.8
Darwin,2019,12,22.4
Darwin,2020,1,468
Darwin,2020,2,223.8
Darwin,2020,3,344.2
Darwin,2020,4,115.9
Darwin,2020,5,1
Darwin,2020,6,0
Darwin,2020,7,0
Darwin,2020,8,0
Darwin,2020,9,28.9
Darwin,2020,10,136.4
Darwin,2020,11,102.8
Darwin,2020,12,374.4
Darwin,2021,1,633.9
Darwin,2021,2,297.7
Darwin,2021,3,176.3
Darwin,2021,4,76
Darwin,2021,5,0
Darwin,2021,6,6.6
Darwin,2021,7,0
