statistical_area2,year,month_number,Monthly_Precipitation_Total(millimetres)
Humpty Doo,2008,1,367.5
Humpty Doo,2008,2,463.7
Humpty Doo,2008,3,254.6
Humpty Doo,2008,4,20.8
Humpty Doo,2008,5,0
Humpty Doo,2008,6,0
Humpty Doo,2008,7,0
Humpty Doo,2008,8,0
Humpty Doo,2008,9,3.2
Humpty Doo,2008,10,62.8
Humpty Doo,2008,11,106.5
Humpty Doo,2008,12,302
Humpty Doo,2009,1,320.3
Humpty Doo,2009,2,390.9
Humpty Doo,2009,3,149.1
Humpty Doo,2009,4,4.8
Humpty Doo,2009,5,15.5
Humpty Doo,2009,6,0.6
Humpty Doo,2009,7,0
Humpty Doo,2009,8,0
Humpty Doo,2009,9,17
Humpty Doo,2009,10,26.8
Humpty Doo,2009,11,226.1
Humpty Doo,2009,12,409.6
Humpty Doo,2010,1,593.1
Humpty Doo,2010,2,389
Humpty Doo,2010,3,134.7
Humpty Doo,2010,4,179.5
Humpty Doo,2010,5,38
Humpty Doo,2010,6,0
Humpty Doo,2010,7,0
Humpty Doo,2010,8,0
Humpty Doo,2010,9,36.7
Humpty Doo,2010,10,96.3
Humpty Doo,2010,11,155.8
Humpty Doo,2010,12,263.4
Humpty Doo,2011,1,489.1
Humpty Doo,2011,2,830.2
Humpty Doo,2011,3,473
Humpty Doo,2011,4,159
Humpty Doo,2011,5,0
Humpty Doo,2011,6,0
Humpty Doo,2011,7,0
Humpty Doo,2011,8,0
Humpty Doo,2011,9,3.6
Humpty Doo,2011,10,93.7
Humpty Doo,2011,11,247
Humpty Doo,2011,12,231.6
Humpty Doo,2012,1,437
Humpty Doo,2012,2,221.5
Humpty Doo,2012,3,478.6
Humpty Doo,2012,4,15.1
Humpty Doo,2012,5,33
Humpty Doo,2012,6,2.4
Humpty Doo,2012,7,0
Humpty Doo,2012,8,0
Humpty Doo,2012,9,27
Humpty Doo,2012,10,79
Humpty Doo,2012,11,118.2
Humpty Doo,2012,12,148.2
Humpty Doo,2013,1,350.1
Humpty Doo,2013,2,248.6
Humpty Doo,2013,3,349.5
Humpty Doo,2013,4,70.7
Humpty Doo,2013,5,22.2
Humpty Doo,2013,6,0.1
Humpty Doo,2013,7,0
Humpty Doo,2013,8,5.7
Humpty Doo,2013,9,2.9
Humpty Doo,2013,10,55.1
Humpty Doo,2013,11,361.4
Humpty Doo,2013,12,344.5
Humpty Doo,2014,1,724.7
Humpty Doo,2014,2,397.3
Humpty Doo,2014,3,95.6
Humpty Doo,2014,4,181.9
Humpty Doo,2014,5,54.6
Humpty Doo,2014,6,0
Humpty Doo,2014,7,0
Humpty Doo,2014,8,0
Humpty Doo,2014,9,0
Humpty Doo,2014,10,0.8
Humpty Doo,2014,11,125.6
Humpty Doo,2014,12,132.4
Humpty Doo,2015,1,520.1
Humpty Doo,2015,2,375.6
Humpty Doo,2015,3,220.7
Humpty Doo,2015,4,50.1
Humpty Doo,2015,5,5.4
Humpty Doo,2015,6,3
Humpty Doo,2015,7,0
Humpty Doo,2015,8,0.3
Humpty Doo,2015,9,37.6
Humpty Doo,2015,10,0.8
Humpty Doo,2015,11,116.4
Humpty Doo,2015,12,553.6
Humpty Doo,2016,1,177.8
Humpty Doo,2016,2,186.7
Humpty Doo,2016,3,261.8
Humpty Doo,2016,4,61.6
Humpty Doo,2016,5,60.6
Humpty Doo,2016,6,1.2
Humpty Doo,2016,7,0.5
Humpty Doo,2016,8,0
Humpty Doo,2016,9,97.1
Humpty Doo,2016,10,88.8
Humpty Doo,2016,11,239.4
Humpty Doo,2016,12,428
Humpty Doo,2017,1,432.4
Humpty Doo,2017,2,576.6
Humpty Doo,2017,3,340.5
Humpty Doo,2017,4,236.8
Humpty Doo,2017,5,0
Humpty Doo,2017,6,0
Humpty Doo,2017,7,0
Humpty Doo,2017,8,0
Humpty Doo,2017,9,0.2
Humpty Doo,2017,10,131
Humpty Doo,2017,11,103.7
Humpty Doo,2017,12,121.4
Humpty Doo,2018,1,1097.2
Humpty Doo,2018,2,307.5
Humpty Doo,2018,3,176.1
Humpty Doo,2018,4,133
Humpty Doo,2018,5,0
Humpty Doo,2018,6,0
Humpty Doo,2018,7,0
Humpty Doo,2018,8,0
Humpty Doo,2018,9,0.8
Humpty Doo,2018,10,86.1
Humpty Doo,2018,11,137.2
Humpty Doo,2018,12,98
Humpty Doo,2019,1,323.9
Humpty Doo,2019,2,232.2
Humpty Doo,2019,3,210.8
Humpty Doo,2019,4,128.8
Humpty Doo,2019,5,15.8
Humpty Doo,2019,6,0
Humpty Doo,2019,7,0
Humpty Doo,2019,8,0
Humpty Doo,2019,9,0
Humpty Doo,2019,10,26.1
Humpty Doo,2019,11,70.8
Humpty Doo,2019,12,193.1
Humpty Doo,2020,1,488
Humpty Doo,2020,2,260.2
Humpty Doo,2020,3,192.8
Humpty Doo,2020,4,124
Humpty Doo,2020,5,2.2
Humpty Doo,2020,6,0
Humpty Doo,2020,7,0
Humpty Doo,2020,8,0
Humpty Doo,2020,9,40.1
Humpty Doo,2020,10,122.2
Humpty Doo,2020,11,130.1
Humpty Doo,2020,12,506.2
Humpty Doo,2021,1,599.2
Humpty Doo,2021,2,390.4
Humpty Doo,2021,3,195.8
Humpty Doo,2021,4,120
Humpty Doo,2021,5,0
Humpty Doo,2021,6,0.3
Humpty Doo,2021,7,0
