reporting_region,year,month_number,Monthly_Precipitation_Total(millimetres)
Palmerston,2008,1,379.3
Palmerston,2008,2,496.1
Palmerston,2008,3,284.3
Palmerston,2008,4,14.5
Palmerston,2008,5,0
Palmerston,2008,6,0
Palmerston,2008,7,0
Palmerston,2008,8,0
Palmerston,2008,9,1
Palmerston,2008,10,103.8
Palmerston,2008,11,80.8
Palmerston,2008,12,304.4
Palmerston,2009,1,306.8
Palmerston,2009,2,331.2
Palmerston,2009,3,132.8
Palmerston,2009,4,71.2
Palmerston,2009,5,1.2
Palmerston,2009,6,0
Palmerston,2009,7,0
Palmerston,2009,8,0
Palmerston,2009,9,11.4
Palmerston,2009,10,29.4
Palmerston,2009,11,122.6
Palmerston,2009,12,413.8
Palmerston,2010,1,750.1
Palmerston,2010,2,425.2
Palmerston,2010,3,195.8
Palmerston,2010,4,133.7
Palmerston,2010,5,39.4
Palmerston,2010,6,0
Palmerston,2010,7,0
Palmerston,2010,8,42
Palmerston,2010,9,44.2
Palmerston,2010,10,185.2
Palmerston,2010,11,149.2
Palmerston,2010,12,312
Palmerston,2011,1,525.2
Palmerston,2011,2,891
Palmerston,2011,3,332.8
Palmerston,2011,4,153.1
Palmerston,2011,5,0.1
Palmerston,2011,6,0
Palmerston,2011,7,0
Palmerston,2011,8,0
Palmerston,2011,9,1.8
Palmerston,2011,10,129.3
Palmerston,2011,11,201.3
Palmerston,2011,12,386
Palmerston,2012,1,345.3
Palmerston,2012,2,269.1
Palmerston,2012,3,500.4
Palmerston,2012,4,37.1
Palmerston,2012,5,21.9
Palmerston,2012,6,0
Palmerston,2012,7,0
Palmerston,2012,8,0
Palmerston,2012,9,0
Palmerston,2012,10,69.5
Palmerston,2012,11,127.2
Palmerston,2012,12,150.4
Palmerston,2013,1,262.8
Palmerston,2013,2,327.6
Palmerston,2013,3,367.1
Palmerston,2013,4,77.6
Palmerston,2013,5,21.9
Palmerston,2013,6,0
Palmerston,2013,7,0
Palmerston,2013,8,4.4
Palmerston,2013,9,4.8
Palmerston,2013,10,77
Palmerston,2013,11,302
Palmerston,2013,12,256
Palmerston,2014,1,739
Palmerston,2014,2,432.5
Palmerston,2014,3,75
Palmerston,2014,4,261.8
Palmerston,2014,5,13.6
Palmerston,2014,6,0
Palmerston,2014,7,0
Palmerston,2014,8,0
Palmerston,2014,9,0
Palmerston,2014,10,18.6
Palmerston,2014,11,184
Palmerston,2014,12,322.6
Palmerston,2015,1,461.3
Palmerston,2015,2,268
Palmerston,2015,3,208.4
Palmerston,2015,4,104.2
Palmerston,2015,5,0
Palmerston,2015,6,0
Palmerston,2015,7,0
Palmerston,2015,8,0
Palmerston,2015,9,6.3
Palmerston,2015,10,4.8
Palmerston,2015,11,137.2
Palmerston,2015,12,540.8
Palmerston,2016,1,82.2
Palmerston,2016,2,88.1
Palmerston,2016,3,118.2
Palmerston,2016,4,0
Palmerston,2016,5,119.4
Palmerston,2016,6,0
Palmerston,2016,7,0
Palmerston,2016,8,0
Palmerston,2016,9,57.2
Palmerston,2016,10,91.1
Palmerston,2016,11,221
Palmerston,2016,12,260.9
Palmerston,2017,1,422.1
Palmerston,2017,2,572.9
Palmerston,2017,3,334.8
Palmerston,2017,4,203.2
Palmerston,2017,5,0
Palmerston,2017,6,0
Palmerston,2017,7,0
Palmerston,2017,8,0
Palmerston,2017,9,0
Palmerston,2017,10,93.9
Palmerston,2017,11,219.4
Palmerston,2017,12,128.4
Palmerston,2018,1,206.3
Palmerston,2018,2,284.3
Palmerston,2018,3,250
Palmerston,2018,4,125
Palmerston,2018,5,0
Palmerston,2018,6,0
Palmerston,2018,7,0
Palmerston,2018,8,0
Palmerston,2018,9,3.6
Palmerston,2018,10,68.6
Palmerston,2018,11,181.8
Palmerston,2018,12,107.2
Palmerston,2019,1,198.3
Palmerston,2019,2,254.3
Palmerston,2019,3,168.6
Palmerston,2019,4,187.2
Palmerston,2019,5,0
Palmerston,2019,6,0
Palmerston,2019,7,0
Palmerston,2019,8,0
Palmerston,2019,9,0.4
Palmerston,2019,10,25
Palmerston,2019,11,129.9
Palmerston,2019,12,62.2
Palmerston,2020,1,142
Palmerston,2020,2,221.8
Palmerston,2020,3,169.2
Palmerston,2020,4,116.7
Palmerston,2020,5,1.6
Palmerston,2020,6,0
Palmerston,2020,7,0
Palmerston,2020,8,0
Palmerston,2020,9,16.7
Palmerston,2020,10,158.4
Palmerston,2020,11,120.4
Palmerston,2020,12,228.3
Palmerston,2021,1,324.7
Palmerston,2021,2,421.2
Palmerston,2021,3,169.5
Palmerston,2021,4,127.4
Palmerston,2021,5,0
Palmerston,2021,6,0
Palmerston,2021,7,0
