reporting_region,year,month_number,Mean_maximum_temperature
Darwin,1941,2,31.5
Darwin,1941,3,31.3
Darwin,1941,4,32.1
Darwin,1941,5,30.9
Darwin,1941,6,28.9
Darwin,1941,7,29.1
Darwin,1941,8,29.2
Darwin,1941,9,30.8
Darwin,1941,10,31.1
Darwin,1941,11,31.7
Darwin,1941,12,32.4
Darwin,1942,1,31.2
Darwin,1942,2,30.3
Darwin,1942,3,34.1
Darwin,1942,4,34
Darwin,1942,5,32.9
Darwin,1942,6,32
Darwin,1942,7,32
Darwin,1942,8,32.4
Darwin,1942,9,33.4
Darwin,1942,10,33.9
Darwin,1942,11,33.4
Darwin,1942,12,31.9
Darwin,1943,1,32.9
Darwin,1943,2,30.6
Darwin,1943,3,31.2
Darwin,1943,4,31.6
Darwin,1943,5,30.6
Darwin,1943,6,29
Darwin,1943,7,29.7
Darwin,1943,8,30.5
Darwin,1943,9,30.6
Darwin,1943,10,32.3
Darwin,1943,11,32.2
Darwin,1943,12,31.4
Darwin,1944,1,31.4
Darwin,1944,2,31.4
Darwin,1944,3,30.3
Darwin,1944,4,31.7
Darwin,1944,5,30.8
Darwin,1944,6,29.5
Darwin,1944,7,28.8
Darwin,1944,8,31.1
Darwin,1944,9,32.2
Darwin,1944,10,33.3
Darwin,1944,11,32.9
Darwin,1944,12,31.7
Darwin,1945,1,32.3
Darwin,1945,2,32.5
Darwin,1945,3,31.2
Darwin,1945,4,33.2
Darwin,1945,5,31.8
Darwin,1945,6,30.8
Darwin,1945,7,29.8
Darwin,1945,8,31.7
Darwin,1945,9,32.8
Darwin,1945,10,32
Darwin,1945,11,32
Darwin,1945,12,31.2
Darwin,1946,1,30.3
Darwin,1946,2,29.5
Darwin,1946,6,30.1
Darwin,1946,7,30
Darwin,1946,8,30.6
Darwin,1946,9,31.5
Darwin,1946,10,32.9
Darwin,1946,11,32.8
Darwin,1946,12,32.8
Darwin,1947,1,32.7
Darwin,1947,2,31.3
Darwin,1947,3,31.2
Darwin,1947,4,32.1
Darwin,1947,5,31.7
Darwin,1947,6,31
Darwin,1947,7,31
Darwin,1947,8,31.2
Darwin,1947,9,31.8
Darwin,1947,10,32.4
Darwin,1947,11,33.1
Darwin,1947,12,33
Darwin,1948,1,32.9
Darwin,1948,2,32
Darwin,1948,3,32.1
Darwin,1948,4,30.3
Darwin,1948,5,31.9
Darwin,1948,6,29.7
Darwin,1948,7,31
Darwin,1948,8,31.3
Darwin,1948,9,31.5
Darwin,1948,10,33.2
Darwin,1948,11,33
Darwin,1948,12,31.8
