,unemployment_rate
2021-07-01,4.565508106
2021-06-01,4.565827834
2021-05-01,4.294305522
2021-04-01,4.076868385
2021-03-01,5.767351105
2021-02-01,5.165369698
2021-01-01,5.982139709
2020-12-01,4.852826768
2020-11-01,6.139393682
2020-10-01,5.609681613
2020-09-01,5.039273327
2020-08-01,4.267274077
2020-07-01,7.144595183
2020-06-01,5.33502329
2020-05-01,6.780850948
2020-04-01,6.074972475
2020-03-01,5.261187412
2020-02-01,5.96433084
2020-01-01,5.267755793
2019-12-01,4.652918022
2019-11-01,5.236479711
2019-10-01,5.531841757
2019-09-01,6.200817648
2019-08-01,5.350592842
2019-07-01,5.31545188
2019-06-01,4.425299707
2019-05-01,4.599155374
2019-04-01,4.755746989
2019-03-01,3.695921572
2019-02-01,5.010090247
2019-01-01,5.155553845
2018-12-01,4.365899538
2018-11-01,5.004288146
2018-10-01,4.940880411
2018-09-01,4.121866619
2018-08-01,4.264487409
2018-07-01,3.872276085
2018-06-01,4.303482577
2018-05-01,3.631152129
2018-04-01,4.855468227
2018-03-01,3.885748681
2018-02-01,4.212356358
2018-01-01,3.878731917
2017-12-01,4.934466489
2017-11-01,4.671835205
2017-10-01,3.704646089
2017-09-01,4.477638917
2017-08-01,4.19584603
2017-07-01,3.470032526
2017-06-01,3.146486833
2017-05-01,2.849319045
2017-04-01,3.902516515
2017-03-01,3.752408499
2017-02-01,2.92742715
2017-01-01,4.778510742
2016-12-01,2.856910606
2016-11-01,3.627799485
2016-10-01,3.126259586
2016-09-01,3.061598258
2016-08-01,3.737502519
2016-07-01,3.435031282
2016-06-01,3.612120692
2016-05-01,3.622382952
2016-04-01,4.121714018
2016-03-01,4.806362312
2016-02-01,5.084226424
2016-01-01,4.366568543
2015-12-01,3.25781172
2015-11-01,3.617074464
2015-10-01,3.410956213
2015-09-01,4.95603618
2015-08-01,4.919389162
2015-07-01,3.820867694
2015-06-01,4.748849686
2015-05-01,4.433717997
2015-04-01,4.540597535
2015-03-01,4.33193778
2015-02-01,4.476537492
2015-01-01,3.983810277
2014-12-01,3.250561975
2014-11-01,3.712048787
2014-10-01,2.91540798
2014-09-01,3.485195159
2014-08-01,3.990031483
2014-07-01,5.4935682
2014-06-01,5.083055607
2014-05-01,2.900683761
2014-04-01,3.834805129
2014-03-01,4.221667225
2014-02-01,3.879354861
2014-01-01,4.25076899
2013-12-01,3.715249698
2013-11-01,3.931677491
2013-10-01,4.519024053
2013-09-01,5.084806186
2013-08-01,5.61866889
2013-07-01,5.17119769
2013-06-01,5.852237126
2013-05-01,6.10830306
2013-04-01,5.770080529
2013-03-01,4.873564395
2013-02-01,5.170575
2013-01-01,5.134543603
2012-12-01,4.042252216
2012-11-01,2.725706365
2012-10-01,5.019181124
2012-09-01,2.844496749
2012-08-01,4.178154024
2012-07-01,3.931400843
2012-06-01,4.324554862
2012-05-01,4.798653905
2012-04-01,4.350970846
2012-03-01,3.865859776
2012-02-01,5.136797772
2012-01-01,5.165049363
2011-12-01,4.335588169
2011-11-01,4.988135174
2011-10-01,4.058940441
2011-09-01,3.085869192
2011-08-01,3.385110345
2011-07-01,4.661820131
2011-06-01,3.422891318
2011-05-01,4.382865838
2011-04-01,3.188573733
2011-03-01,3.030445051
2011-02-01,3.087788812
2011-01-01,2.588367673
2010-12-01,2.010951963
2010-11-01,2.766218056
2010-10-01,2.407500769
2010-09-01,2.878457595
2010-08-01,2.86144643
2010-07-01,2.303784903
2010-06-01,2.730497347
2010-05-01,2.5683645
2010-04-01,3.228899112
2010-03-01,3.523148387
2010-02-01,3.512495359
2010-01-01,5.145045874
2009-12-01,3.331766339
2009-11-01,2.925630469
2009-10-01,2.64139002
2009-09-01,3.325753336
2009-08-01,3.163183938
2009-07-01,4.187968692
2009-06-01,3.480787188
2009-05-01,3.647937917
2009-04-01,4.433291637
2009-03-01,4.416983965
2009-02-01,4.067749021
2009-01-01,5.119850048
2008-12-01,3.434932092
2008-11-01,4.453566533
2008-10-01,3.082437819
2008-09-01,2.681097024
2008-08-01,1.975567742
2008-07-01,2.208942979
2008-06-01,3.636545972
2008-05-01,3.435478203
2008-04-01,4.231039327
2008-03-01,4.459587458
2008-02-01,5.426067406
2008-01-01,5.394334952
