Year,Month,Darwin,Palmerston,Alice Springs,Katherine,Tennant Creek,Nhulunbuy,NT Balance
2008,6,75732,27495,27466,10164,3482,4641,70894
2008,9,76280,27694,27665,10238,3507,4675,71407
2008,12,76645,27827,27797,10287,3524,4697,71749
2009,3,77126,28001,27972,10351,3546,4726,72199
2009,6,77984,28523,28068,10452,3525,4678,72797
2009,9,78408,28678,28220,10509,3544,4703,73193
2009,12,78590,28745,28286,10533,3552,4714,73363
2010,3,78872,28848,28388,10571,3565,4731,73626
2010,6,79318,29055,28397,10563,3537,4653,74255
2010,9,79553,29141,28481,10594,3547,4667,74475
2010,12,79498,29121,28461,10587,3545,4664,74423
2011,3,79472,29111,28452,10584,3544,4662,74399
2011,6,80014,29290,28489,10516,3513,4509,74961
2011,9,80437,29445,28640,10572,3532,4533,75357
2011,12,80502,29469,28663,10580,3534,4537,75418
2012,3,80877,29606,28796,10629,3551,4558,75770
2012,6,81170,30558,28608,10796,3570,4455,76048
2012,9,81971,30715,28772,10871,3611,4544,76969
2012,12,82342,30855,28903,10920,3627,4565,77318
2013,3,82942,31079,29113,11000,3654,4598,77881
2013,6,82655,31117,29131,10994,3636,4537,77438
2013,9,83656,32131,28841,11003,3634,4455,78055
2013,12,83932,32237,28936,11040,3646,4469,78313
2014,3,84311,32383,29067,11089,3663,4490,78666
2014,6,84598,32542,28465,10909,3552,4596,78971
2014,9,84089,33688,28308,11100,3606,3875,79093
2014,12,83907,33615,28247,11076,3598,3867,78922
2015,3,84095,33862,27731,10840,3454,4335,79145
2015,6,85074,34167,27689,10879,3431,4294,79158
2015,9,85366,35105,26830,10726,3340,3364,79838
2015,12,85199,35037,26777,10705,3334,3358,79681
2016,3,85386,35114,26836,10728,3341,3365,79857
2016,6,85753,35265,26951,10774,3355,3380,80200
2016,9,86515,36003,26609,10641,3307,3313,80132
2016,12,86396,35954,26573,10627,3303,3309,80022
2017,3,86466,35983,26594,10635,3305,3311,80087
2017,6,86864,36149,26716,10684,3321,3327,80456
2017,9,86860,36891,26559,10662,3273,3277,80044
2017,12,86612,36786,26483,10632,3263,3267,79815
2018,3,86530,36751,26458,10622,3260,3264,79739
2018,6,86682,36816,26505,10640,3266,3270,79880
2018,9,85367,37790,26495,10704,3247,3270,80116
2018,12,84955,37608,26367,10652,3231,3254,79729
2019,3,84942,37602,26363,10651,3231,3254,79717
2019,6,85094,37660,26407,10667,3236,3258,79821
2019,9,83932,38264,26411,10717,3255,3274,80205
2019,12,83645,38133,26321,10681,3244,3263,79931
2020,3,83862,38232,26389,10708,3252,3271,80138
2020,6,84021,38263,26395,10719,3254,3275,80053
2020,9,83170,39074,26486,10726,3307,3296,80442
2020,12,83191,39083,26493,10728,3308,3297,80461
2021,3,83347,39156,26543,10748,3314,3303,80612
