As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region ,Statistical Area 2,Number of offences
1/09/2021,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,-,2
1/09/2021,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,-,2
1/09/2021,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Palmerston,-,4
1/09/2021,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,-,12
1/09/2021,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Humpty Doo,1
1/09/2021,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Palmerston,-,6
1/09/2021,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,-,35
1/09/2021,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Palmerston,-,5
1/09/2021,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Darwin,-,9
1/09/2021,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Palmerston,-,3
1/09/2021,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Darwin,-,28
1/09/2021,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Palmerston,-,4
1/09/2021,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,-,4
1/09/2021,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,-,5
1/09/2021,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Palmerston,-,2
1/09/2021,2008,1,Acts intended to cause injury,Other acts intended to cause injury,-,-,Darwin,-,2
1/09/2021,2008,1,Acts intended to cause injury,Other acts intended to cause injury,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,-,67
1/09/2021,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,-,12
1/09/2021,2008,1,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,-,11
1/09/2021,2008,1,Commercial break-ins,Commercial break-ins attempted,-,-,Palmerston,-,2
1/09/2021,2008,1,House break-ins,House break-ins actual,-,-,Darwin,-,62
1/09/2021,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Howard Springs,3
1/09/2021,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Humpty Doo,2
1/09/2021,2008,1,House break-ins,House break-ins actual,-,-,Palmerston,-,18
1/09/2021,2008,1,House break-ins,House break-ins attempted,-,-,Darwin,-,9
1/09/2021,2008,1,House break-ins,House break-ins attempted,-,-,Palmerston,-,4
1/09/2021,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Darwin,-,28
1/09/2021,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Palmerston,-,9
1/09/2021,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Darwin,-,40
1/09/2021,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Palmerston,-,26
1/09/2021,2008,1,Property Damage Offences,Property damage offences,-,-,Darwin,-,340
1/09/2021,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Howard Springs,2
1/09/2021,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Humpty Doo,9
1/09/2021,2008,1,Property Damage Offences,Property damage offences,-,-,Palmerston,-,118
1/09/2021,2008,1,Robbery - extortion and related offences,Robbery,-,-,Darwin,-,2
1/09/2021,2008,1,Robbery - extortion and related offences,Robbery,-,-,Palmerston,-,1
1/09/2021,2008,1,Sexual Assault and related offences,Non-assaultive sexual offences,-,-,Darwin,-,1
1/09/2021,2008,1,Sexual Assault and related offences,Non-assaultive sexual offences,-,-,Palmerston,-,1
1/09/2021,2008,1,Sexual Assault and related offences,Sexual assault,-,-,Darwin,-,13
1/09/2021,2008,1,Sexual Assault and related offences,Sexual assault,-,-,Palmerston,-,7
1/09/2021,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Darwin,-,295
1/09/2021,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Howard Springs,6
1/09/2021,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Humpty Doo,5
1/09/2021,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Palmerston,-,93
1/09/2021,2008,2,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,-,1
1/09/2021,2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,-,15
1/09/2021,2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,Palmerston,-,8
1/09/2021,2008,2,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,-,52
1/09/2021,2008,2,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Palmerston,-,4
1/09/2021,2008,2,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Darwin,-,7
1/09/2021,2008,2,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,NT Balance,Humpty Doo,1
1/09/2021,2008,2,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Palmerston,-,1
1/09/2021,2008,2,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Darwin,-,38
1/09/2021,2008,2,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,NT Balance,Humpty Doo,1
1/09/2021,2008,2,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Palmerston,-,8
1/09/2021,2008,2,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,-,3
1/09/2021,2008,2,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,-,5
1/09/2021,2008,2,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Palmerston,-,4
